,,,,Grenada Affected Exports to the USA (Top 100),,,
,,,,,,,
,,,,,,,
,HS,SITC,Country,DESCRIPTION,   Exports to USA (USD)   ,   Quantity   ,Affected
,03023110,0,GD,"Albacore or long finned tunas, for processing, fresh or chilled.","  1,198,837 ","  390,895 ",affected
,82041200,6,GD,"Hand-operated spanners and wrenches, adjustable.","  690,894 ",  136 ,affected
,08109040,0,GD,"Soursop, fresh.","  416,151 ","  67,740 ",affected
,03023210,0,GD,"Yellowfin tunas, for processing, fresh or chilled.","  244,206 ","  79,790 ",affected
,90065900,8,GD,"Other cameras, not elsewhere specified or included.","  226,408 ","  3,000 ",affected
,85171210,7,GD,Portable radio-telephones.,"  123,358 ",  685 ,affected
,84609000,7,GD,"Machine-tools for deburring, polishing or otherwise finishing metal or cermets by means of grinding stones, abrasives or polishing products, not elsewhere specified or included.","  108,652 ",  838 ,affected
,84099990,7,GD,"Parts suitable for use solely or principally with compression-ignition internal combustion piston engines (diesel or semi-diesel engines), other than those for road motor vehicles or for marine craft.","  96,475 ","  13,405 ",affected
,88033000,7,GD,Other parts of aeroplanes or helicopters.,"  89,248 ",  552 ,affected
,85441190,7,GD,"Winding wire (other than enamelled or plastic insulated winding wire), of copper.","  80,501 ","  24,999 ",affected
,37069000,8,GD,"Cinematographic film, exposed and developed, whether or not incorporating sound track or consisting only of sound track, other than those of a width of 35 mm or more.","  54,338 ","  3,000 ",affected
,12122900,2,GD,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, (other than for human consumption).","  49,778 ","  1,858 ",affected
,98010000,9,GD,Personal and household effects,"  48,501 ","  7,157 ",affected
,33030090,5,GD,"Perfumes and toilet waters, other than bay rum.","  42,504 ",  451 ,affected
,87032490,7,GD,"Vehicles with spark-ignition internal combustion reciprocating piston engine of cylinder capacity exceeding 3000cc, other than those completely knocked down for assembly in plants approved for the purpose by the  Competent Authority.","  38,238 ","  1,915 ",affected
,85176200,7,GD,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus.","  27,348 ",  39 ,affected
,03023190,0,GD,"Albacore or long finned tunas, other than for processing, fresh or chilled.","  25,259 ","  8,668 ",affected
,18069000,0,GD,"Other chocolate and food preparations containing cocoa, nes.","  24,677 ",  665 ,affected
,90278000,8,GD,"Other instruments and apparatus for physical or chemical analysis, for measuring or checking viscosity, porosity, expansion, surface tension or the like, for measuring or checking quantities of heat, sound or light.","  24,570 ",  25 ,affected
,84133000,7,GD,"Fuel, lubricating or cooling medium pumps for internal combustion piston engines.","  23,144 ",  935 ,affected
,92060090,8,GD,"Percussion musical instruments, other than steel band (for example, drums, xylophones, cymbals, castanets, maracas).","  21,735 ","  3,000 ",affected
,72043000,2,GD,Waste and scrap of tinned iron or steel.,"  21,408 ","  230,500 ",affected
,90189000,8,GD,"Other instruments and appliances used in medical, surgical or veterinary sciences.","  14,299 ",  52 ,affected
,08134000,0,GD,"Fruit (other than apricots, prunes, apples or those of headings 08.01 to 08.06) , dried.","  12,667 ","  4,171 ",affected
,90279000,8,GD,"Microtomes; parts and accessories of instruments and apparatus, for physical or chemical analysis, for measuring or checking viscosity, porosity and the like, for measuring or checking quantities of heat, sound or light.","  12,248 ",  3 ,affected
,85286900,7,GD,"Projectors, other than of a kind solely or principally used in an automatic data processing system of heading 84.71 (SITC 752).","  11,575 ",  150 ,affected
,84118100,7,GD,"Other gas turbines, of a power not exceeding 5,000 kW.","  10,412 ",  174 ,affected
,85118000,7,GD,Other ignition or starting equipment used with spark-ignition or compression-ignition internal combustion engines and cuts of a kind used in conjunction with such engines.,"  10,208 ",  168 ,affected
,71131100,8,GD,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other precious metal.","  9,459 ",  18 ,affected
,84224000,7,GD,Other packing or wrapping machinery (including heat-shrink wrapping machinery).,"  9,259 ",  181 ,affected
,71131910,8,GD,"Articles of jewellery and parts thereof, of gold.","  8,879 ",  2 ,affected
,39231090,8,GD,"Boxes (other than egg boxes), cases, crates and similar articles, of plastics.","  7,738 ",  250 ,affected
,83040090,8,GD,"Paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment, of base metal, other than office furniture of heading 94.03 (SITC 821).","  6,764 ","  4,608 ",affected
,84431900,7,GD,"Other printing machinery used for printing by means of plates, cylinders and other printing components of heading 84.42 (SITC 726.3).","  6,221 ",  329 ,affected
,85369000,7,GD,"Other electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, surge suppressors, junction boxes), for a voltage not exceeding 1,000 volts.","  6,201 ",  97 ,affected
,84193900,7,GD,"Dryers, other than those for agricultural products or for wood, paper pulp, paper or paperboard.","  6,029 ",  100 ,affected
,73110000,6,GD,"Containers for compressed or liquefied gas, of iron or steel.","  5,736 ","  4,345 ",affected
,84139190,7,GD,Parts of other pumps for liquids.,"  5,690 ",  71 ,affected
,29012990,5,GD,"Unsaturated acyclic hydrocarbons, other than ethylene, propene (propylene), butene (butylenes) and isomers thereof, buta-1, 3-diene and isoprene, nonylene (nonene), or acetylene.","  5,663 ","  1,936 ",affected
,84604000,7,GD,Honing or lapping machines.,"  5,233 ",  40 ,affected
,73043900,6,GD,"Other tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron (other than cast iron) or non-alloy steel, other than those cold-drawn or cold-rolled (cold-reduced).","  5,071 ",  175 ,affected
,92079000,8,GD,"Other musical instruments, the sound of which is produced, or must be amplified, electrically (for example, guitars, accordions).","  5,029 ","  1,200 ",affected
,85044000,7,GD,Static converters (for example rectifiers).,"  4,988 ",  106 ,affected
,89071000,7,GD,Inflatable rafts.,"  4,953 ",  50 ,affected
,85442000,7,GD,Insulated co-axial cable and other co-axial electric conductors.,"  4,772 ",  2 ,affected
,90303300,8,GD,"Other instruments and apparatus for measuring or checking voltage, current, resistance or power, without a recording device.","  4,730 ",  34 ,affected
,73072200,6,GD,"Threaded elbows, bends and sleeves, of stainless steel.","  4,589 ",  158 ,affected
,88021100,7,GD,"Helicopters of an unladen weight not exceeding 2,000 kg.","  4,531 ",  5 ,affected
,85176900,7,GD,"Other apparatus for transmission or reception of voice, images or other data, not elsewhere specified or included.","  4,519 ",  33 ,affected
,72041000,2,GD,Waste and scrap of cast iron.,"  4,304 ","  40,070 ",affected
,82076000,6,GD,Tools for boring or broaching.,"  4,025 ",  31 ,affected
,07109090,0,GD,"Mixtures of vegetables, not for use in industry (uncooked or cooked by steaming or boiling in water), frozen.","  3,574 ","  1,257 ",affected
,84849000,7,GD,"Sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings.","  3,501 ",  14 ,affected
,76130000,6,GD,Aluminium containers for compressed or liquefied gas.,"  3,381 ",  47 ,affected
,90079200,8,GD,Parts and accessories for cinematographic projectors.,"  3,170 ",  17 ,affected
,84831090,7,GD,"Transmission shafts (including cam shafts and crank shafts) and cranks, other than for road motor vehicle engines, marine engines or aircrafts engines.","  3,019 ",  46 ,affected
,90261000,8,GD,Instruments and apparatus for measuring or checking the flow or level of liquids.,"  3,019 ",  31 ,affected
,90268000,8,GD,"Other instruments or apparatus for measuring or checking the flow, level or other variables of liquids or gases, excluding instruments and apparatus of heading 90.14, 90.15, 90.28 or 90.32 (SITC 873.1, 874.1 and 874.6).","  3,019 ",  5 ,affected
,84419000,7,GD,"Parts of other machinery for making up paper pulp, paper or paperboard.","  2,963 ","  1,090 ",affected
,55122900,6,GD,"Woven fabrics of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, other than unbleached or bleached.","  2,854 ",  21 ,affected
,62111200,8,GD,"Women’s or girls’ swimwear, not knitted or crocheted.","  2,824 ",  25 ,affected
,84879000,7,GD,"Other machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not elsewhere specified or included.","  2,516 ",  36 ,affected
,85437090,7,GD,"Other electrical machines and apparatus, having individual functions, not elsewhere specified or included.","  2,516 ",  28 ,affected
,84714100,7,GD,"Other automatic data processing machines, comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined.","  2,435 ",  13 ,affected
,84238200,7,GD,"Other weighing machinery, having a maximum weighing capacity exceeding 30 kg but not exceeding 5,000 kg.","  2,340 ",  7 ,affected
,97011010,8,GD,"Paintings, executed entirely by hand, other than drawings of heading 49.06 (SITC 892.82) and other than hand-painted or hand-decorated manufactured articles.","  2,314 ",  59 ,affected
,84119900,7,GD,Parts of other gas turbines.,"  2,264 ","  1,450 ",affected
,39269090,8,GD,"Other articles of plastics, not elsewhere specified or included.","  2,223 ",  28 ,affected
,84713000,7,GD,"Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display.","  2,093 ",  5 ,affected
,84081000,7,GD,"Compression-ignition internal combustion piston engines (diesel or semi-diesel engines), for marine propulsion.","  2,013 ","  1,600 ",affected
,95030090,8,GD,Other toys.,"  2,013 ",  11 ,affected
,90318000,8,GD,"Other measuring or checking instruments, appliances and machines not elsewhere specified or included.","  1,956 ",  54 ,affected
,22084010,1,GD,"Rum and other spirits obtained by distilling fermented sugarcane products, in bottles of a strength not exceeding 46% vol.","  1,890 ",  401 ,affected
,06039000,2,GD,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared.","  1,877 ",  511 ,affected
,09109100,0,GD,Mixtures referred to in Note 1(b) to this Chapter (spices).,"  1,520 ",  116 ,affected
,90158000,8,GD,"Other instruments and appliances for surveying, for hydrographic, oceanographic, hydrological, meteorological or geophysical uses.","  1,509 ",  9 ,affected
,01061910,0,GD,Live dogs,"  1,509 ",  116 ,affected
,84099910,7,GD,Parts suitable for use solely or principally with compression-ignition internal combustion piston engines (diesel or semi-diesel engines) for road motor vehicles.,"  1,449 ",  8 ,affected
,21069099,0,GD,Other food preparations not elsewhere specified or included.,"  1,388 ",  428 ,affected
,62114900,8,GD,"Women’s or girls’ track suits and other garments, not knitted or crocheted, of textile materials other than wool, fine animal hair, cotton or man-made fibres.","  1,363 ",  29 ,affected
,76020000,2,GD,Aluminium waste and scrap.,"  1,296 ",  14 ,affected
,87083099,7,GD,"Brakes, servo-brakes and parts thereof (other than mounted brake lining) for the motor vehicles of headings 87.02 to 87.05 (SITC 781, 782 and 783.1).","  1,168 ",  80 ,affected
,18063200,0,GD,"Other chocolate and food preparations containing cocoa, in blocks, slabs or bars, not filled.","  1,087 ",  40 ,affected
,84818000,7,GD,"Taps, cocks and other valves and similar appliances for pipes, boiler shells, tanks, vats or the like.","  1,083 ",  3 ,affected
,87088090,7,GD,"Suspension systems and parts thereof (including shock-absorbers), for the motor vehicles of headings 87.02 to 87.05 (SITC 781, 782 and 783.1).","  1,073 ",  10 ,affected
,84149000,7,GD,"Parts, for air or vacuum pumps, for air and other gas compressors and fans, and for ventilating or recycling hoods.","  1,029 ",  3 ,affected
,59032000,6,GD,"Textile fabrics impregnated, coated, covered or laminated with polyurethane, other than those of heading 59.02 (SITC 657.93).","  1,026 ",  43 ,affected
,85182900,7,GD,"Loudspeakers, not mounted in their enclosures.","  1,024 ",  125 ,affected
,33012990,5,GD,"Essential oils, other than of citrus fruits, mints, bay, clove, ginger, nutmeg, patchouli or pimento.","  1,019 ",  9 ,affected
,84248900,7,GD,"Mechanical appliances (other than agricultural or horticultural) for projecting, dispersing or spraying liquids or powders.","  1,006 ",  3 ,affected
,84433200,7,GD,"Other printers, copying machines and facsimile machine, capable of connecting to an automatic data processing machine or to a network.","  1,006 ",  2 ,affected
,96072090,8,GD,"Parts for slide fasteners, other than continuous chain.","  1,006 ",  8 ,affected
,84082000,7,GD,"Compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for the propulsion of vehicles of Chapter 87 (SITC 78, 722, 744.14, 744.15, and 891.11).",  906 ,  200 ,affected
,37079000,8,GD,"Chemical preparations (other than sensitising emulsions) for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready",  831 ,  10 ,affected
,90153000,8,GD,Levels.,  805 ,  11 ,affected
,22087000,1,GD,Liqueurs and cordials.,  758 ,  91 ,affected
,33049990,5,GD,Other beauty or make-up preparations and preparations for the care of the skin (other than medicaments).,  731 ,  41 ,affected
,08109050,0,GD,"Breadfruit, fresh.",  729 ,  366 ,affected
,84238900,7,GD,"Other weighing machinery, not elsewhere specified or included.",  722 ,  74 ,affected
,09109920,0,GD,Bay leaves.,  705 ,  10 ,affected